Gamma,Temperature
13446.7150729987,0.005718000819501
13446.7150729987,0.007646304379163
13446.7150729987,0.010224897215722
13446.7150729987,0.013673078900309
13446.7150729987,0.01828410424768
13446.7150729987,0.024450123529418
13446.7150729987,0.032695533371816
13446.7150729987,0.043721574706212
13446.7150729987,0.058465970658813
13446.7150729987,0.078182676357071
13446.7150729987,0.104548523072078
13446.7150729987,0.139805826378115
13446.7150729987,0.186953086614072
13446.7150729987,0.25
20000,0.001
20000,0.00133723387256
20000,0.001788194429922
20000,0.002391234162415
20000,0.003197639319204
20000,0.00427599160987
20000,0.005718000819501
20000,0.007646304379163
20000,0.010224897215722
20000,0.013673078900309
20000,0.01828410424768
20000,0.024450123529418
20000,0.032695533371816
20000,0.043721574706212
20000,0.058465970658813
20000,0.078182676357071
20000,0.104548523072078
20000,0.139805826378115
20000,0.186953086614072
20000,0.25
